STATE,SECTOR,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,"  Agriculture, forestry, fishing and hunting ","$2,176,800,000","$2,411,300,000","$2,730,500,000","$2,685,600,000","$2,933,300,000","$2,528,700,000","$3,127,700,000","$3,638,300,000","$3,806,400,000","$3,156,400,000","$2,308,300,000","$2,203,500,000","$2,766,900,000","$2,410,800,000","$1,608,800,000","$1,788,800,000","$2,986,400,000","$2,590,700,000","$3,185,300,000","$2,781,600,000","$3,050,100,000","$3,185,100,000","$2,666,700,000","$2,190,300,000","$2,871,000,000"
Alabama,"  Mining, quarrying, and oil and gas extraction ","$3,492,800,000","$3,959,800,000","$3,606,800,000","$3,248,800,000","$3,581,500,000","$3,294,900,000","$3,422,400,000","$3,520,500,000","$3,715,800,000","$3,640,500,000","$4,015,700,000","$3,532,800,000","$3,515,100,000","$3,200,700,000","$2,799,900,000","$2,906,400,000","$2,774,400,000","$2,408,800,000","$2,309,200,000","$2,229,900,000","$2,920,600,000","$2,739,700,000","$2,500,600,000","$2,373,500,000","$2,196,800,000"
Alabama,  Utilities ,"$4,150,900,000","$4,024,400,000","$4,709,200,000","$4,834,600,000","$4,232,500,000","$4,309,300,000","$4,299,100,000","$4,551,000,000","$4,244,700,000","$4,517,000,000","$4,717,200,000","$4,909,600,000","$4,635,900,000","$5,336,100,000","$5,609,700,000","$5,711,800,000","$5,524,600,000","$5,254,600,000","$5,337,800,000","$5,771,500,000","$5,555,300,000","$5,439,700,000","$5,581,600,000","$5,668,400,000","$5,321,000,000"
Alabama,  Construction ,"$9,379,400,000","$10,047,600,000","$10,223,700,000","$10,241,800,000","$9,775,800,000","$9,336,200,000","$9,279,200,000","$9,136,000,000","$9,310,700,000","$9,351,300,000","$9,564,700,000","$8,680,800,000","$7,561,500,000","$7,110,400,000","$6,809,500,000","$6,897,600,000","$6,649,300,000","$6,363,200,000","$6,335,000,000","$6,643,800,000","$6,827,800,000","$7,078,700,000","$7,506,000,000","$7,520,500,000","$7,730,300,000"
Alabama,  Manufacturing ,"$21,824,000,000","$22,483,700,000","$23,546,900,000","$24,061,800,000","$23,524,400,000","$23,768,900,000","$24,702,400,000","$29,947,300,000","$31,186,500,000","$32,490,600,000","$31,978,600,000","$31,893,500,000","$27,173,400,000","$29,316,100,000","$32,281,100,000","$32,058,700,000","$33,814,100,000","$32,769,800,000","$32,209,500,000","$33,469,700,000","$34,282,600,000","$35,304,800,000","$35,414,200,000","$33,953,900,000","$36,062,400,000"
Alabama,  Wholesale trade ,"$8,788,500,000","$9,288,300,000","$9,406,600,000","$9,679,800,000","$9,633,300,000","$9,774,500,000","$10,194,700,000","$10,655,400,000","$11,301,900,000","$11,518,100,000","$11,692,100,000","$11,892,900,000","$10,431,200,000","$10,722,100,000","$10,642,800,000","$10,571,300,000","$10,870,300,000","$11,017,200,000","$11,180,400,000","$11,538,700,000","$11,729,100,000","$11,859,900,000","$11,700,500,000","$12,074,700,000","$12,779,100,000"
Alabama,  Retail trade ,"$10,349,900,000","$11,309,600,000","$11,579,300,000","$11,627,900,000","$11,315,800,000","$11,919,900,000","$12,599,400,000","$12,903,100,000","$13,775,600,000","$13,977,800,000","$13,647,100,000","$13,181,600,000","$12,528,600,000","$12,659,700,000","$12,576,400,000","$12,571,600,000","$12,699,100,000","$12,690,600,000","$12,964,400,000","$13,627,400,000","$13,951,900,000","$14,215,400,000","$14,703,800,000","$14,535,400,000","$14,549,100,000"
Alabama,  Transportation and warehousing ,"$4,016,500,000","$4,442,100,000","$4,397,100,000","$4,479,200,000","$4,117,500,000","$4,026,300,000","$4,162,000,000","$4,531,000,000","$4,774,700,000","$5,019,400,000","$5,010,500,000","$5,000,500,000","$4,676,800,000","$4,868,900,000","$4,929,800,000","$4,785,600,000","$4,698,700,000","$4,719,400,000","$4,656,900,000","$4,750,900,000","$5,036,900,000","$5,273,600,000","$5,020,000,000","$4,786,900,000","$5,069,500,000"
Alabama,  Information ,"$2,917,200,000","$2,941,000,000","$3,095,900,000","$3,103,900,000","$3,655,700,000","$3,938,100,000","$3,812,700,000","$4,264,900,000","$4,800,200,000","$4,993,900,000","$4,735,600,000","$4,945,500,000","$4,559,700,000","$4,558,100,000","$4,491,500,000","$4,267,300,000","$4,391,000,000","$4,305,500,000","$4,626,200,000","$4,654,400,000","$4,821,300,000","$5,086,500,000","$5,479,500,000","$5,558,800,000","$6,253,100,000"
Alabama,   Finance and insurance ,"$7,254,300,000","$7,142,400,000","$8,147,400,000","$8,775,800,000","$8,788,500,000","$9,700,700,000","$9,683,700,000","$10,190,100,000","$10,575,900,000","$9,827,500,000","$9,240,000,000","$7,833,000,000","$9,961,600,000","$9,809,800,000","$9,230,200,000","$11,067,000,000","$10,738,100,000","$11,404,000,000","$11,388,000,000","$10,544,500,000","$9,668,200,000","$9,697,500,000","$9,606,400,000","$9,528,400,000","$10,888,900,000"
Alabama,   Real estate and rental and leasing ,"$13,381,500,000","$13,468,100,000","$14,084,700,000","$14,376,100,000","$15,433,600,000","$15,380,900,000","$15,552,200,000","$16,494,100,000","$18,139,100,000","$18,360,200,000","$20,223,400,000","$19,835,700,000","$19,724,900,000","$20,590,300,000","$21,710,000,000","$22,033,700,000","$22,283,400,000","$21,909,900,000","$22,033,000,000","$21,966,400,000","$21,699,500,000","$21,801,200,000","$22,597,700,000","$22,243,400,000","$23,028,700,000"
Alabama,"   Professional, scientific, and technical services ","$6,681,600,000","$7,351,800,000","$7,543,400,000","$7,468,800,000","$7,786,000,000","$8,288,100,000","$8,975,600,000","$9,346,000,000","$9,376,700,000","$9,896,600,000","$10,147,400,000","$10,972,600,000","$10,919,500,000","$10,957,700,000","$11,113,300,000","$11,111,500,000","$11,129,400,000","$11,162,700,000","$11,401,600,000","$11,777,800,000","$12,404,400,000","$13,059,800,000","$13,417,200,000","$13,655,900,000","$14,640,200,000"
Alabama,   Management of companies and enterprises ,"$1,295,700,000","$1,015,000,000","$1,014,800,000","$977,600,000","$1,135,400,000","$1,183,100,000","$1,436,500,000","$1,444,100,000","$1,459,400,000","$1,518,100,000","$1,534,800,000","$1,499,400,000","$1,535,200,000","$1,689,200,000","$1,766,100,000","$1,859,400,000","$1,826,000,000","$1,786,600,000","$1,813,500,000","$2,017,600,000","$2,210,200,000","$2,208,200,000","$2,363,000,000","$2,303,600,000","$2,551,400,000"
Alabama,   Administrative and support and waste management and remediation services ,"$2,659,800,000","$2,751,400,000","$2,844,500,000","$2,939,300,000","$3,013,500,000","$3,118,800,000","$3,378,500,000","$3,569,800,000","$3,970,600,000","$4,042,500,000","$4,298,800,000","$4,407,500,000","$4,100,900,000","$4,682,500,000","$4,768,600,000","$4,814,800,000","$4,796,000,000","$4,901,700,000","$4,865,800,000","$4,807,300,000","$5,119,900,000","$5,321,300,000","$5,521,300,000","$5,237,600,000","$5,998,400,000"
Alabama,   Educational services ,"$848,800,000","$847,500,000","$906,200,000","$929,600,000","$902,900,000","$909,000,000","$943,600,000","$1,037,300,000","$992,200,000","$1,016,500,000","$1,070,700,000","$1,070,000,000","$1,175,600,000","$1,214,000,000","$1,214,100,000","$1,200,100,000","$1,180,600,000","$1,197,600,000","$1,189,500,000","$1,235,700,000","$1,167,100,000","$1,134,800,000","$1,160,000,000","$999,900,000","$1,034,900,000"
Alabama,   Health care and social assistance ,"$9,763,600,000","$9,802,700,000","$9,810,300,000","$10,171,000,000","$10,205,000,000","$10,639,500,000","$10,785,600,000","$11,353,000,000","$11,732,900,000","$12,305,400,000","$12,181,600,000","$12,761,000,000","$12,948,300,000","$13,039,700,000","$13,323,800,000","$13,417,700,000","$13,638,800,000","$13,810,100,000","$14,339,600,000","$14,636,800,000","$14,832,000,000","$15,321,500,000","$16,066,300,000","$15,886,600,000","$16,527,300,000"
Alabama,"   Arts, entertainment, and recreation ","$606,600,000","$613,300,000","$630,700,000","$625,200,000","$581,300,000","$603,300,000","$609,500,000","$605,700,000","$625,100,000","$633,400,000","$642,700,000","$641,600,000","$640,900,000","$644,900,000","$644,700,000","$673,100,000","$662,700,000","$680,900,000","$655,600,000","$683,600,000","$697,600,000","$713,000,000","$719,900,000","$495,600,000","$653,800,000"
Alabama,   Accommodation and food services ,"$3,525,400,000","$3,728,000,000","$3,965,000,000","$4,061,400,000","$4,058,700,000","$4,081,600,000","$4,178,200,000","$4,280,600,000","$4,512,700,000","$4,674,500,000","$4,631,200,000","$4,439,900,000","$4,227,300,000","$4,370,700,000","$4,573,500,000","$4,711,800,000","$4,747,600,000","$4,888,200,000","$5,040,100,000","$5,105,300,000","$5,164,400,000","$5,119,000,000","$5,200,200,000","$4,484,900,000","$5,320,800,000"
Alabama,  Other services (except government and government enterprises) ,"$4,999,400,000","$5,437,900,000","$5,381,500,000","$5,387,700,000","$4,876,300,000","$4,976,000,000","$4,959,900,000","$5,269,400,000","$5,472,000,000","$5,509,000,000","$5,364,200,000","$5,184,300,000","$4,956,000,000","$4,979,900,000","$4,897,400,000","$4,844,800,000","$4,737,200,000","$4,775,700,000","$4,720,400,000","$4,618,200,000","$4,597,600,000","$4,751,900,000","$4,662,300,000","$4,400,800,000","$4,545,600,000"
Alabama, Government and government enterprises ,"$28,403,800,000","$28,769,800,000","$28,996,200,000","$28,923,500,000","$28,454,900,000","$29,332,700,000","$29,924,600,000","$30,274,200,000","$30,818,200,000","$30,924,500,000","$32,049,600,000","$32,262,000,000","$32,870,600,000","$32,562,900,000","$32,602,300,000","$31,952,600,000","$31,240,400,000","$31,194,300,000","$31,115,600,000","$31,440,900,000","$31,806,000,000","$31,701,200,000","$32,051,400,000","$32,338,800,000","$32,442,700,000"
Alaska,"  Agriculture, forestry, fishing and hunting ","$477,600,000","$383,000,000","$412,500,000","$476,800,000","$449,700,000","$413,100,000","$461,500,000","$399,200,000","$446,700,000","$469,700,000","$406,700,000","$470,400,000","$476,900,000","$547,100,000","$623,200,000","$550,900,000","$541,800,000","$499,000,000","$470,500,000","$394,300,000","$384,400,000","$379,800,000","$393,900,000","$364,300,000","$355,900,000"
Alaska,"  Mining, quarrying, and oil and gas extraction ","$17,170,000,000","$12,742,000,000","$11,273,700,000","$9,149,300,000","$8,615,200,000","$11,491,100,000","$8,728,600,000","$10,098,600,000","$10,619,100,000","$13,763,700,000","$15,402,100,000","$14,264,600,000","$18,565,300,000","$15,542,200,000","$15,927,500,000","$18,303,200,000","$15,529,500,000","$13,976,100,000","$13,926,100,000","$13,309,700,000","$13,918,300,000","$12,491,600,000","$12,822,000,000","$12,669,900,000","$10,236,400,000"
Alaska,  Utilities ,"$536,500,000","$517,200,000","$592,200,000","$588,400,000","$488,800,000","$497,400,000","$485,500,000","$519,400,000","$497,700,000","$522,400,000","$522,400,000","$563,900,000","$569,300,000","$631,500,000","$722,100,000","$745,400,000","$728,900,000","$701,100,000","$678,300,000","$725,900,000","$714,300,000","$711,400,000","$706,600,000","$746,200,000","$724,700,000"
