STATE,Accommodation and food services,Administrative and support and waste management and remediation services,"Agriculture, forestry, fishing and hunting","Arts, entertainment, and recreation",Construction,Educational services,Finance and insurance,Government and government enterprises,Health care and social assistance,Information,Management of companies and enterprises,Manufacturing,"Mining, quarrying, and oil and gas extraction",Other services (except government and government enterprises),"Professional, scientific, and technical services",Real estate and rental and leasing,Retail trade,Transportation and warehousing,Utilities,Wholesale trade,TOTAL_GDP_GROWTH
Alabama,50.92755432007715,125.5207158432965,31.89084895259096,7.7810748433893835,-17.58214811181952,21.92507068803016,50.10269771032353,14.219576253881522,69.27465279200294,114.35280405868642,96.91286563247665,65.24193548387098,-37.10490151168117,-9.077089250710085,119.112188697318,72.0935620072488,40.57237267992927,26.216855471181375,28.189067431159508,45.40706605222734,43.64593748826924
Alaska,20.62957830132647,36.92404466111024,-25.481574539363482,26.130389064143007,-21.160439560439563,2.0322354590049057,-2.9446177847113884,11.269018756123184,180.4619695209458,178.85030410045124,37.2790404040404,-14.686643931346788,-40.382061735585324,-23.515215110178385,53.214002292566796,52.69429011312672,28.939763132543778,49.11256732019208,35.079217148182664,43.650258485052824,4.595814180599754
Arizona,60.90384471258338,169.59277398362963,40.185879495168194,23.681597240370042,10.750476135091521,205.59755372462413,138.51805288178213,28.352709120017295,172.59876702457944,409.8784024988844,182.95718779920668,238.1134066265344,53.344258712990275,2.791873716001475,148.24244288900854,119.80706945761779,101.43497253717919,64.91854459704071,42.80691684006601,83.16993623131967,100.87887609658264
Arkansas,60.00479731350443,177.60471009092265,-0.4490319570795428,60.82175925925925,-27.747436469014712,62.758620689655174,95.4280533609636,19.17759805371996,79.50529442365458,74.20587272131863,238.22905620360552,12.656096280246013,58.933739527798934,-9.074560299248283,114.48308926080892,74.36458243988908,73.23242953636554,12.238724554313059,26.93208430913349,104.38375554214107,46.45831593763792
California,59.032765563754516,120.20457441983616,69.26059359875234,51.81923373617897,20.62128012589866,83.24796543619146,130.99282884004197,30.78513606471427,136.35383800636995,604.8687444452494,40.24433550133822,235.8916586726395,-12.808834878639985,-21.211898587244796,193.68148372747356,54.478680806669985,54.32596506361872,57.599176351244665,50.44932457794401,87.94450689212134,103.22496599615982
Colorado,73.20501397892409,96.16721032477663,47.36323056161113,61.086090743291024,22.249726923240605,110.81823581823582,111.69901408289049,31.76870726553784,122.16092572658772,229.30530105763975,359.6122706009356,145.58128806052778,228.27904238618527,10.496888669829339,220.2450851407736,87.10865628791385,85.95375506621095,55.84985598244357,51.22795510858475,102.19289677268111,98.71524577501314
Connecticut,18.8297193877551,62.199971927197865,-18.032359081419624,-0.05981686835687664,-35.929733459644694,41.09294431632679,44.3101175656064,1.0084338442005985,47.36422172452407,265.32221119340306,1.192612748219765,16.90484541953782,8.289241622574956,-30.35291269690315,48.422918267798046,26.931185897943976,20.215804506505872,33.26238446511356,-0.1344676180021954,33.310832274459976,28.633652837604217
Delaware,19.283032361880924,120.81923211576613,126.19607843137256,-2.23583460949464,-17.66080049836474,10.098684210526315,57.73702895482526,25.40603020982309,115.0836820083682,89.1921568627451,-6.813862998823636,9.73449447748513,-81.62790697674419,-9.36425163652502,53.851621200839375,49.07076891807777,37.59247144079312,67.4715909090909,18.883685609416528,32.923766207317904,40.0188729651238
District of Columbia,15.48686364699462,120.76294277929156,537.5,69.26099158091674,42.7973107020831,14.076776748682446,98.20369428910354,26.78402960884395,77.7975713310175,249.53181062396078,129.08863920099876,-10.296461587503984,-100.0,40.3126995357827,87.03056433440075,89.97491738663057,51.371742112482856,-34.96180493871025,61.39724001971415,82.52947481243301,59.10186634856731
Florida,66.76668142746584,106.94968153765765,-11.306110716068808,25.33024356379494,18.403294407622827,89.24947589098534,125.79158028846331,15.256262693867342,107.06947213404004,242.8027617569475,186.48991192134372,101.05993916621937,-27.334887334887338,-4.331620918685381,168.44886530825212,122.28571844826392,87.00502199902228,38.59137640018414,31.838967620677792,106.8468687628199,82.67753437099687
Georgia,41.2282376106328,157.17169797876636,3.8118602933417747,33.194408266041506,0.6776188079660651,66.96009389671362,111.59213203227503,22.377721576447318,119.90809977738455,353.6693959993919,79.34391625562711,21.830251262629012,-34.878995682304705,-9.416400786020665,156.70953044065982,106.15965931337055,60.823751958147376,27.053061994354966,57.881871695101275,77.35072294678945,72.1832273387351
Hawaii,18.891777158566008,68.93337408312958,-22.394268546336953,-1.657185258471432,9.074602287764284,7.786178538267675,88.68866431267503,23.847350426000645,74.34328998142061,164.05092351038297,55.38654934003772,11.670266378689705,-8.944723618090453,-20.514100324432246,67.91830464054945,49.107122283923594,30.794446073075182,-12.94073626341997,26.72190574831693,36.47077730754808,32.82587825344901
Idaho,98.05327868852459,296.3235294117647,65.36217904551927,119.57379636937648,-1.013317892298784,133.60809291869614,151.42210084593353,22.820006805035725,150.93771183249228,293.19437021200787,18.770013185157282,310.3109889067981,136.4534134821812,-3.7082565048145875,145.17120470975283,130.67869050549353,119.8156532988357,49.3423936869794,67.99886621315193,151.16363636363636,100.17601738045904
