STATE,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,146516500000.0,151835700000.0,156620700000.0,158599400000.0,158005900000.0,161110500000.0,166027500000.0,177011800000.0,184591300000.0,187373200000.0,189054200000.0,187147700000.0,180909900000.0,184724500000.0,187593500000.0,189245600000.0,191388100000.0,189831500000.0,191367400000.0,194302000000.0,197542500000.0,201012800000.0,203938600000.0,200237900000.0,210465000000.0
Alaska,47512800000.0,44102100000.0,42556400000.0,40423200000.0,41793700000.0,44766600000.0,43195100000.0,45109400000.0,46563100000.0,49842400000.0,52289400000.0,52211700000.0,56637000000.0,54803100000.0,55410900000.0,58283500000.0,55393200000.0,54237800000.0,54702600000.0,53938200000.0,54301600000.0,52779500000.0,53068800000.0,50738400000.0,49696400000.0
Arizona,173915300000.0,186774500000.0,200196700000.0,209721300000.0,213119400000.0,219860100000.0,231503800000.0,243364700000.0,262178200000.0,274407100000.0,283082700000.0,280525900000.0,257381000000.0,260252000000.0,266078300000.0,271440200000.0,273466700000.0,277105300000.0,282561000000.0,291419100000.0,304155900000.0,315368700000.0,326292100000.0,327985800000.0,349359100000.0
Arkansas,83833000000.0,85880700000.0,90288500000.0,91185700000.0,91162400000.0,94026700000.0,98000000000.0,102872300000.0,106798100000.0,109294000000.0,108071500000.0,106933100000.0,103205600000.0,105708300000.0,107934200000.0,108492100000.0,110763700000.0,111761500000.0,112298100000.0,112453900000.0,113553700000.0,115404700000.0,116198900000.0,116484000000.0,122780400000.0
California,1430867800000.0,1512728500000.0,1603452700000.0,1717074600000.0,1713058800000.0,1743927300000.0,1806452200000.0,1864569300000.0,1936892100000.0,2008943200000.0,2044883000000.0,2065640200000.0,1998986900000.0,2036999900000.0,2064152400000.0,2113096600000.0,2179749400000.0,2257477000000.0,2361220500000.0,2434481800000.0,2548254100000.0,2657323700000.0,2745142200000.0,2695461400000.0,2907880600000.0
Colorado,187592300000.0,203222000000.0,216468100000.0,231601300000.0,235590700000.0,236184400000.0,238898900000.0,242082000000.0,252889000000.0,258254600000.0,267488800000.0,271413200000.0,265339000000.0,267919000000.0,271688000000.0,276823100000.0,286243800000.0,298672900000.0,312774000000.0,319069400000.0,330349900000.0,343530700000.0,360685800000.0,355611400000.0,372774500000.0
Connecticut,192965600000.0,198472900000.0,204367400000.0,218316600000.0,219860900000.0,218021200000.0,220618500000.0,234368200000.0,239211600000.0,248996600000.0,258284600000.0,257919100000.0,245143600000.0,244441100000.0,238548900000.0,240912000000.0,236115700000.0,235892800000.0,242765800000.0,243353000000.0,246850100000.0,249531300000.0,252493600000.0,236624900000.0,248218700000.0
Delaware,46415600000.0,50596700000.0,54191100000.0,56432600000.0,58123700000.0,56420300000.0,57248200000.0,60043200000.0,59287000000.0,60500400000.0,60360500000.0,58779300000.0,61635700000.0,60615000000.0,62925600000.0,62354600000.0,60249100000.0,64799200000.0,66601100000.0,63002600000.0,60722300000.0,62150300000.0,64724600000.0,62797400000.0,64990600000.0
District of Columbia,80478000000.0,81942100000.0,85263200000.0,86083700000.0,89068900000.0,91630900000.0,93294000000.0,97672400000.0,99511300000.0,99829100000.0,102650100000.0,106756600000.0,105921600000.0,109954900000.0,111629400000.0,112157100000.0,112337000000.0,114552200000.0,116824700000.0,119713500000.0,120913000000.0,123942000000.0,124918700000.0,123341400000.0,128042000000.0
Florida,565025800000.0,592194900000.0,618431300000.0,645978300000.0,662990600000.0,691514600000.0,723979800000.0,770047200000.0,815524500000.0,839382000000.0,849088700000.0,815921600000.0,769245500000.0,775204100000.0,772052500000.0,778545100000.0,794935000000.0,817335900000.0,852727400000.0,882212400000.0,913299200000.0,942519600000.0,966605000000.0,951844100000.0,1032175200000.0
Georgia,336668100000.0,359850100000.0,383694000000.0,395996500000.0,399230300000.0,403061400000.0,415542100000.0,431644100000.0,448683800000.0,453712100000.0,456654300000.0,446447300000.0,429409500000.0,433810200000.0,441610600000.0,447764700000.0,454953800000.0,470060400000.0,489686400000.0,507922600000.0,526027700000.0,540531500000.0,560526500000.0,540090400000.0,579686000000.0
Hawaii,56248000000.0,54783700000.0,55180800000.0,56218400000.0,56017900000.0,57433600000.0,60454200000.0,63659200000.0,67325800000.0,68929700000.0,70117900000.0,70523200000.0,68059000000.0,69648000000.0,70647200000.0,71905200000.0,73074100000.0,73534600000.0,75914400000.0,77337700000.0,79003200000.0,79944700000.0,79215500000.0,70214500000.0,74711900000.0
Idaho,39768800000.0,41489600000.0,44170100000.0,47268400000.0,46838200000.0,47816000000.0,48937700000.0,51883700000.0,56020100000.0,57755000000.0,58735900000.0,60337900000.0,57324700000.0,58273400000.0,58215700000.0,58323800000.0,60651900000.0,62550000000.0,63126600000.0,65696100000.0,66730600000.0,70786100000.0,74167600000.0,75075500000.0,79607600000.0
Illinois,578775700000.0,597231900000.0,620299700000.0,642273100000.0,644003400000.0,649065600000.0,659724500000.0,677265100000.0,686917000000.0,704435100000.0,712206100000.0,706839500000.0,688545600000.0,697888000000.0,711223100000.0,726399500000.0,726137300000.0,740946100000.0,751025900000.0,749995000000.0,753817900000.0,773655600000.0,777063900000.0,738015700000.0,784515600000.0
Indiana,235206900000.0,248373500000.0,256474700000.0,266195700000.0,261820000000.0,266847900000.0,278298200000.0,288095900000.0,290245000000.0,296314000000.0,304219000000.0,301390400000.0,279631600000.0,297583400000.0,299099800000.0,300513800000.0,307343200000.0,316707700000.0,313480000000.0,319591500000.0,324816000000.0,336137800000.0,337195100000.0,327506700000.0,346917400000.0
Iowa,114276000000.0,115207000000.0,117375900000.0,122717100000.0,121058600000.0,124205100000.0,129437500000.0,140334100000.0,144328400000.0,146522300000.0,152300500000.0,149898900000.0,146239700000.0,149869100000.0,152425600000.0,158538200000.0,158479300000.0,166510000000.0,170872800000.0,170112000000.0,170854300000.0,173939500000.0,173808100000.0,170505100000.0,180039000000.0
Kansas,106983100000.0,110243000000.0,112166000000.0,114752100000.0,115019100000.0,116550800000.0,118746800000.0,120108900000.0,124497200000.0,130323700000.0,136761400000.0,139166800000.0,134119000000.0,135708600000.0,139611600000.0,141818200000.0,141690000000.0,145312100000.0,148700500000.0,153846200000.0,155419600000.0,158950200000.0,159775900000.0,159334900000.0,162924700000.0
Kentucky,147739800000.0,152281300000.0,156808900000.0,153891300000.0,154498900000.0,157232100000.0,161233500000.0,165441200000.0,171860800000.0,176424000000.0,174899000000.0,174072600000.0,166972400000.0,173720800000.0,175683000000.0,178143700000.0,181497000000.0,181392200000.0,182814500000.0,183831900000.0,185805800000.0,187752500000.0,192916400000.0,188217400000.0,197721700000.0
Louisiana,203141100000.0,212830800000.0,215262100000.0,205042000000.0,207663300000.0,211700400000.0,223157100000.0,236566700000.0,256047600000.0,249973400000.0,232689400000.0,234022400000.0,236077100000.0,247948500000.0,235037200000.0,235384700000.0,228359900000.0,235619600000.0,232951800000.0,227404200000.0,232776100000.0,236856600000.0,237309500000.0,216867700000.0,218815500000.0
