STATE,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Alabama,38855500000.0,41145100000.0,42669600000.0,43158500000.0,42626200000.0,43976900000.0,46277400000.0,52196400000.0,54338800000.0,56365000000.0,55773100000.0,56047700000.0,50621500000.0,52933500000.0,55970800000.0,55741800000.0,57642600000.0,56623100000.0,56575500000.0,58874900000.0,60638900000.0,62580000000.0,63535200000.0,62145200000.0,65251700000.0
Alaska,4687500000.0,5274000000.0,4760600000.0,4505600000.0,4920900000.0,5170700000.0,5459900000.0,5524200000.0,5391300000.0,5431500000.0,5607800000.0,5723500000.0,5800700000.0,5400300000.0,5204900000.0,5139400000.0,5514600000.0,5801100000.0,6086400000.0,5757000000.0,5889300000.0,5362000000.0,5532500000.0,5321400000.0,5539000000.0
Arizona,32168800000.0,35887700000.0,39551000000.0,41970400000.0,43647800000.0,45483000000.0,50883700000.0,50522700000.0,53288100000.0,58570000000.0,61655400000.0,60204800000.0,53850000000.0,56070600000.0,59124100000.0,60151100000.0,57742300000.0,60806000000.0,62975200000.0,65242800000.0,69216800000.0,73724800000.0,76978400000.0,77426700000.0,83567300000.0
Arkansas,24088800000.0,24289000000.0,25836900000.0,25508900000.0,24958900000.0,26755200000.0,28045500000.0,29761800000.0,30496100000.0,31351700000.0,29211100000.0,28127000000.0,25016200000.0,26699500000.0,27418600000.0,26491700000.0,28013800000.0,28841800000.0,28752700000.0,29241400000.0,29496700000.0,30752700000.0,31082600000.0,30830200000.0,32639600000.0
California,311625700000.0,341259600000.0,380309000000.0,439097000000.0,426541900000.0,421695400000.0,450800600000.0,470212300000.0,501985500000.0,528420500000.0,544394800000.0,576752300000.0,538525700000.0,539865100000.0,538345200000.0,560499100000.0,574547900000.0,602712000000.0,633117100000.0,647946100000.0,690219800000.0,736740500000.0,769638300000.0,770104200000.0,833514600000.0
Colorado,34847700000.0,37926500000.0,40319600000.0,44208400000.0,45001000000.0,45777900000.0,46845500000.0,49653700000.0,52260300000.0,55016500000.0,58004600000.0,59736200000.0,58328400000.0,60014900000.0,60674600000.0,61500300000.0,63276000000.0,65959300000.0,68235500000.0,70199200000.0,72292500000.0,76552600000.0,81394900000.0,81768100000.0,89125800000.0
Connecticut,49978500000.0,51111500000.0,52999000000.0,55393900000.0,56817900000.0,59769900000.0,60874400000.0,66548200000.0,66707500000.0,72762400000.0,73833100000.0,72875200000.0,57294900000.0,58135700000.0,57226000000.0,57520000000.0,58096100000.0,57783100000.0,57987200000.0,56119700000.0,57782900000.0,61356700000.0,63229800000.0,58532700000.0,62801000000.0
Delaware,9649700000.0,10259700000.0,10814600000.0,10859800000.0,10720600000.0,9918400000.0,10413200000.0,12268300000.0,12089000000.0,12250800000.0,12622100000.0,11616300000.0,10816900000.0,10674700000.0,11005100000.0,10998700000.0,11145100000.0,11385700000.0,12295900000.0,10694300000.0,11561400000.0,11868700000.0,12574000000.0,12034900000.0,12446100000.0
District of Columbia,15522200000.0,16736200000.0,17584600000.0,18055500000.0,19137600000.0,19949800000.0,20817100000.0,22324800000.0,22145100000.0,22833200000.0,23764200000.0,25731900000.0,24310800000.0,24398900000.0,25027800000.0,25273300000.0,24779800000.0,25394200000.0,26160500000.0,27432400000.0,27261600000.0,27717600000.0,27417500000.0,27121700000.0,28414000000.0
Florida,101411700000.0,109358900000.0,112866800000.0,118075100000.0,123773200000.0,129639100000.0,137765300000.0,147708800000.0,157957600000.0,164756500000.0,162734100000.0,156620100000.0,144160600000.0,146634100000.0,147327600000.0,148836400000.0,155391700000.0,162500900000.0,171738200000.0,179083400000.0,186878900000.0,195079400000.0,201568700000.0,201878700000.0,220420500000.0
Georgia,83378800000.0,90260600000.0,96444400000.0,98381100000.0,98870800000.0,99189300000.0,99971900000.0,103989400000.0,106043900000.0,108220000000.0,109292100000.0,106958600000.0,99306200000.0,100806900000.0,103849700000.0,104608300000.0,106041700000.0,110009900000.0,113832800000.0,118374200000.0,122037500000.0,124423100000.0,126261600000.0,122367600000.0,132645400000.0
Hawaii,7354400000.0,7056500000.0,7119000000.0,7307500000.0,7886700000.0,8359500000.0,8984500000.0,9227100000.0,9538600000.0,9697500000.0,9636900000.0,9859100000.0,9427100000.0,9352100000.0,9604300000.0,9728400000.0,9965300000.0,10156000000.0,10333100000.0,10478100000.0,10846900000.0,11203300000.0,11067700000.0,9764200000.0,10175100000.0
Idaho,7511500000.0,8143600000.0,9271100000.0,11090500000.0,10286400000.0,10609500000.0,11478900000.0,12338300000.0,13673000000.0,13572800000.0,13598500000.0,14920900000.0,14091600000.0,14626800000.0,14646100000.0,14653600000.0,14872800000.0,15317600000.0,15487700000.0,16002900000.0,16698600000.0,18125000000.0,19371800000.0,19617300000.0,21115500000.0
Illinois,151362300000.0,156275300000.0,161173100000.0,168936200000.0,168528100000.0,167736100000.0,172688500000.0,180949900000.0,183288600000.0,187141800000.0,190243200000.0,187364100000.0,177978100000.0,181957700000.0,189602400000.0,196810100000.0,191234700000.0,196809800000.0,198410200000.0,199274500000.0,202711400000.0,213899200000.0,215159100000.0,204552600000.0,218790300000.0
Indiana,80035900000.0,88126600000.0,91266100000.0,95188000000.0,91445800000.0,97836100000.0,103962100000.0,109478700000.0,107669800000.0,107907000000.0,119557200000.0,118873700000.0,102028100000.0,116624300000.0,115541100000.0,111854600000.0,117782800000.0,121469400000.0,117000400000.0,120465000000.0,121562500000.0,127018500000.0,127414400000.0,122275400000.0,132523000000.0
Iowa,32531900000.0,32543400000.0,33674700000.0,34607300000.0,34697200000.0,35675200000.0,37303600000.0,40328500000.0,40182800000.0,42248600000.0,42325700000.0,42821600000.0,38817800000.0,41072300000.0,40462100000.0,43150400000.0,42432200000.0,45416500000.0,45690200000.0,42540300000.0,44608500000.0,46423700000.0,46532500000.0,46419500000.0,48801500000.0
Kansas,27503000000.0,29309200000.0,29753200000.0,30688400000.0,31188700000.0,31463200000.0,31357100000.0,31439500000.0,32768200000.0,36218700000.0,39057000000.0,37698700000.0,33596300000.0,36436500000.0,38801200000.0,38775600000.0,35766200000.0,38234400000.0,40298900000.0,41957900000.0,42949600000.0,44928100000.0,45259500000.0,43738900000.0,45599600000.0
Kentucky,45348900000.0,46512900000.0,47610200000.0,41969400000.0,41766600000.0,43803100000.0,45678100000.0,46769700000.0,47957400000.0,51061800000.0,49222600000.0,48176700000.0,42587600000.0,46917800000.0,47193900000.0,49910100000.0,51680000000.0,51420700000.0,51484900000.0,52069700000.0,53972000000.0,54464200000.0,57514100000.0,55633000000.0,59332000000.0
Louisiana,63249400000.0,62854200000.0,67958100000.0,61280800000.0,58127000000.0,67124800000.0,82200200000.0,93589900000.0,112854700000.0,101054600000.0,88643100000.0,85147700000.0,79726500000.0,89821600000.0,77907700000.0,76864300000.0,71617100000.0,77866200000.0,74703700000.0,72701600000.0,77396400000.0,78701600000.0,78478800000.0,65276100000.0,64496500000.0
Maine,10671100000.0,10698100000.0,11341500000.0,12076100000.0,11897200000.0,12187800000.0,12536100000.0,13239100000.0,13301800000.0,13409200000.0,13402100000.0,13480800000.0,12867000000.0,13005800000.0,12694400000.0,12497200000.0,12386500000.0,12571100000.0,12617800000.0,13070500000.0,13710100000.0,14223200000.0,14824400000.0,15033800000.0,15931300000.0
Maryland,42941100000.0,45934500000.0,47826100000.0,49632500000.0,54056300000.0,57191400000.0,58421900000.0,60935100000.0,62794700000.0,64588600000.0,65357800000.0,67205600000.0,67014300000.0,70636700000.0,71742400000.0,71206000000.0,71635400000.0,72722400000.0,73185800000.0,76142100000.0,77387700000.0,80468000000.0,83022700000.0,81173900000.0,85762600000.0
Massachusetts,65487700000.0,69979000000.0,74915000000.0,84620800000.0,84863100000.0,86108900000.0,91568600000.0,94162200000.0,96710000000.0,100928300000.0,106736400000.0,108988800000.0,104038700000.0,112317300000.0,113801100000.0,117059600000.0,116690300000.0,121190200000.0,126526600000.0,129835800000.0,133763200000.0,142415200000.0,147099000000.0,147843700000.0,160906300000.0
Michigan,123380800000.0,129195400000.0,139369300000.0,141273800000.0,133525900000.0,141000500000.0,145159500000.0,141888300000.0,143686200000.0,141602500000.0,143872600000.0,132065500000.0,108023000000.0,124125700000.0,132813700000.0,136318100000.0,142278500000.0,143327300000.0,145159800000.0,149256800000.0,152775800000.0,156821200000.0,155943600000.0,147526600000.0,166921400000.0
Minnesota,48920200000.0,52533500000.0,54477200000.0,59658700000.0,58666500000.0,60538100000.0,65672800000.0,70115900000.0,71469500000.0,71944800000.0,70972900000.0,73817800000.0,69824600000.0,72779000000.0,75697200000.0,76046900000.0,79706700000.0,83927900000.0,85396200000.0,88623600000.0,88985600000.0,92929600000.0,91971500000.0,87908600000.0,93763600000.0
Mississippi,23913700000.0,24238900000.0,24458100000.0,23560400000.0,23287800000.0,23419000000.0,25925300000.0,25870400000.0,26780000000.0,29015600000.0,28994400000.0,28903600000.0,25974100000.0,26495900000.0,26428500000.0,27542900000.0,26221600000.0,26978500000.0,26964500000.0,27694900000.0,28006400000.0,27634300000.0,27829600000.0,27676300000.0,29674700000.0
Missouri,59334300000.0,60099500000.0,60711800000.0,62655000000.0,62106800000.0,63584100000.0,66585900000.0,68409100000.0,68971100000.0,68938500000.0,69030300000.0,69646700000.0,63805300000.0,65890300000.0,64554700000.0,67701000000.0,68221500000.0,68971900000.0,71988500000.0,70892300000.0,72243300000.0,72935900000.0,75537900000.0,73989100000.0,78664000000.0
Montana,5593600000.0,6071000000.0,5612800000.0,5628700000.0,5853700000.0,5992700000.0,6525800000.0,6796900000.0,6969000000.0,7235900000.0,8015700000.0,7464800000.0,6679700000.0,7227800000.0,7466400000.0,7397400000.0,7391600000.0,7959300000.0,8608200000.0,8119900000.0,9476600000.0,9628700000.0,9120900000.0,8704200000.0,9574700000.0
Nebraska,14896300000.0,15149800000.0,15606800000.0,16326200000.0,16650400000.0,16516700000.0,17488600000.0,18018600000.0,18820000000.0,20367500000.0,20018600000.0,21206100000.0,20234700000.0,21371400000.0,22572800000.0,23117200000.0,23286500000.0,22660400000.0,21990100000.0,21875900000.0,22103800000.0,23755900000.0,24728100000.0,24880000000.0,26307600000.0
Nevada,12583600000.0,13088300000.0,13639500000.0,14453100000.0,15635900000.0,16899200000.0,17816100000.0,20286600000.0,22399500000.0,22901400000.0,23253500000.0,22803900000.0,20118600000.0,19965900000.0,20426600000.0,21126000000.0,21479200000.0,21725800000.0,21872300000.0,22991200000.0,24452700000.0,26118500000.0,27398800000.0,26659800000.0,29064100000.0
New Hampshire,12553500000.0,13967300000.0,13908300000.0,15307800000.0,15325700000.0,15719800000.0,16626700000.0,16712300000.0,16656700000.0,17507400000.0,17251300000.0,17359700000.0,16631400000.0,17684500000.0,17823100000.0,17464900000.0,17977300000.0,17399700000.0,18340300000.0,19064200000.0,19451700000.0,20545800000.0,20971600000.0,21114700000.0,22554800000.0
New Jersey,112915000000.0,114341900000.0,120387900000.0,127858100000.0,127149700000.0,126046300000.0,130249100000.0,128684000000.0,126851700000.0,129942600000.0,133568000000.0,139026900000.0,123194800000.0,125007500000.0,121388800000.0,120449600000.0,121124100000.0,125142700000.0,127560400000.0,133283200000.0,132982500000.0,141390900000.0,145633300000.0,142037300000.0,149830800000.0
New Mexico,11440900000.0,11277600000.0,12337500000.0,12514000000.0,11996700000.0,12360600000.0,14184900000.0,16715400000.0,15977600000.0,16605800000.0,16301600000.0,15273200000.0,16652400000.0,16076600000.0,15241000000.0,15107700000.0,14466900000.0,15193600000.0,15735100000.0,15901800000.0,15944700000.0,16500300000.0,17482600000.0,17105800000.0,17716100000.0
New York,191314800000.0,195512900000.0,203421800000.0,210848800000.0,210958900000.0,216725800000.0,218513400000.0,224884700000.0,232427600000.0,240108100000.0,243962200000.0,247708800000.0,231382300000.0,235441400000.0,236324800000.0,236507800000.0,239829700000.0,247905100000.0,256801100000.0,260799400000.0,265405300000.0,268523500000.0,279376900000.0,260624400000.0,279617500000.0
North Carolina,102596300000.0,104299700000.0,112454500000.0,115858100000.0,115328100000.0,114016900000.0,116911600000.0,119214000000.0,124090700000.0,141416600000.0,145675500000.0,141382500000.0,134622000000.0,137096500000.0,137996500000.0,132113400000.0,138958900000.0,138418400000.0,144418200000.0,145550700000.0,146375900000.0,151189900000.0,153373200000.0,151393000000.0,163335000000.0
North Dakota,3645200000.0,3906000000.0,3977700000.0,3927100000.0,4384300000.0,4610200000.0,5030300000.0,5187200000.0,5632900000.0,5957700000.0,6060400000.0,6523000000.0,5939300000.0,6142800000.0,6607500000.0,7486400000.0,7953500000.0,8500900000.0,8474900000.0,7782000000.0,7782200000.0,7838600000.0,8211600000.0,8011000000.0,8405400000.0
Ohio,149533500000.0,157464900000.0,158685700000.0,160558300000.0,154118500000.0,158277400000.0,162122600000.0,169116300000.0,170215900000.0,170097200000.0,169199800000.0,161892500000.0,141571900000.0,148606100000.0,157061900000.0,152860000000.0,156743200000.0,167709800000.0,165768700000.0,167302500000.0,171210800000.0,172879300000.0,176076200000.0,167933900000.0,179257700000.0
Oklahoma,26404600000.0,26741600000.0,27195000000.0,28435300000.0,28510800000.0,28089400000.0,29918300000.0,29998600000.0,31349600000.0,34317500000.0,33772100000.0,37305500000.0,32933500000.0,31855600000.0,33339700000.0,34972400000.0,34607200000.0,35760300000.0,35626900000.0,33523100000.0,34801500000.0,37234100000.0,38470800000.0,35807400000.0,36828200000.0
Oregon,23102800000.0,25276500000.0,25353800000.0,29001600000.0,28835100000.0,30461800000.0,33120000000.0,36680100000.0,37575400000.0,40370600000.0,41417700000.0,43508400000.0,41011600000.0,43223200000.0,46085000000.0,45378600000.0,46534100000.0,47715100000.0,50535100000.0,52616900000.0,54895100000.0,58830700000.0,59016000000.0,59428900000.0,61136800000.0
Pennsylvania,142006400000.0,147331400000.0,150666600000.0,157439600000.0,159547900000.0,162401900000.0,164911200000.0,163746900000.0,163088100000.0,165417200000.0,165405900000.0,165411700000.0,155181600000.0,156781700000.0,156311400000.0,156099800000.0,160682800000.0,166502500000.0,167319800000.0,169824000000.0,174693200000.0,176929600000.0,184123600000.0,177558800000.0,186850300000.0
Rhode Island,8237300000.0,8854000000.0,9269400000.0,9660900000.0,9828700000.0,10514700000.0,10435700000.0,11044000000.0,10539200000.0,11268300000.0,10397900000.0,10420900000.0,9596100000.0,10010400000.0,9862400000.0,9799800000.0,10233100000.0,10142900000.0,10737500000.0,10819100000.0,10907900000.0,11259900000.0,11314400000.0,11047900000.0,11938600000.0
South Carolina,40893600000.0,41738000000.0,43299700000.0,43972200000.0,45150600000.0,47147200000.0,49743300000.0,47697200000.0,48600500000.0,49591100000.0,50946200000.0,49743100000.0,45808700000.0,48152700000.0,50426000000.0,50472600000.0,51019600000.0,52752200000.0,55375900000.0,57271000000.0,57479400000.0,59162500000.0,62129500000.0,59307300000.0,63921100000.0
South Dakota,4663600000.0,5126500000.0,5236900000.0,5857500000.0,5677500000.0,6793800000.0,5979700000.0,6431800000.0,6908400000.0,7268400000.0,7526900000.0,7553200000.0,7020900000.0,7526800000.0,8189500000.0,8136800000.0,8403600000.0,8618800000.0,8769100000.0,8886600000.0,8962300000.0,9023100000.0,8836800000.0,8927400000.0,9479900000.0
Tennessee,58890300000.0,62076800000.0,63759900000.0,63423700000.0,63411400000.0,66212600000.0,70610000000.0,77928000000.0,78699200000.0,80900800000.0,78571400000.0,78760300000.0,71671200000.0,72999100000.0,75349100000.0,78558400000.0,80806600000.0,81763700000.0,84722400000.0,87209500000.0,92339100000.0,93238300000.0,96375600000.0,94995100000.0,104451900000.0
Texas,214230200000.0,232911400000.0,234574400000.0,249514400000.0,258754900000.0,265960700000.0,272851000000.0,315395100000.0,317178500000.0,347739900000.0,366248800000.0,353792200000.0,335932200000.0,362395500000.0,376008100000.0,376837600000.0,404797100000.0,389262600000.0,403760500000.0,403051300000.0,418593300000.0,448242100000.0,448551400000.0,421295900000.0,450543800000.0
Utah,17979800000.0,19190700000.0,19427500000.0,20738100000.0,20172600000.0,20824400000.0,22442800000.0,23894400000.0,25302400000.0,27932100000.0,29809700000.0,30279500000.0,32446500000.0,33866600000.0,34493800000.0,32825800000.0,34641200000.0,35145100000.0,36883900000.0,37941000000.0,40250400000.0,44501400000.0,47432900000.0,47749800000.0,51801900000.0
Vermont,4338300000.0,4561700000.0,4957900000.0,5375900000.0,5690100000.0,5876400000.0,6145300000.0,6581800000.0,6614100000.0,6939100000.0,6430000000.0,6877500000.0,6310400000.0,6926100000.0,7162600000.0,7241900000.0,6648600000.0,6593100000.0,6905100000.0,6970000000.0,7160400000.0,7397200000.0,7478800000.0,7421400000.0,7971100000.0
Virginia,70977400000.0,76405200000.0,80967400000.0,86264200000.0,92406100000.0,91878000000.0,96526500000.0,101262800000.0,107231600000.0,110678100000.0,111636900000.0,112529700000.0,115754500000.0,122374200000.0,123706600000.0,123710900000.0,123968600000.0,121240200000.0,124044600000.0,125853000000.0,128933300000.0,135557500000.0,139108200000.0,138561400000.0,147231100000.0
Washington,70584000000.0,74354100000.0,77214200000.0,81699700000.0,78244800000.0,79244700000.0,78001000000.0,79702200000.0,90435600000.0,94385800000.0,102296000000.0,100749400000.0,98529000000.0,104659400000.0,106736900000.0,111077600000.0,114931000000.0,119613300000.0,126189000000.0,125194400000.0,132335400000.0,141971200000.0,146710000000.0,148435600000.0,155922000000.0
West Virginia,14257600000.0,14148800000.0,15082000000.0,14214900000.0,13996800000.0,14612500000.0,14538800000.0,14539000000.0,15114400000.0,15221600000.0,14607100000.0,14772900000.0,14761700000.0,14364100000.0,14458600000.0,14398400000.0,14801600000.0,14379200000.0,14096800000.0,14511700000.0,15206000000.0,15451200000.0,14868900000.0,14128100000.0,14781700000.0
Wisconsin,64810000000.0,67357600000.0,69936800000.0,72483300000.0,71489000000.0,72917500000.0,75347900000.0,77647000000.0,78909100000.0,82758800000.0,82075400000.0,78820200000.0,71859500000.0,76417600000.0,79072200000.0,80832900000.0,82161700000.0,82745600000.0,83645000000.0,84065400000.0,83717400000.0,86112700000.0,89265100000.0,85574000000.0,91878600000.0
Wyoming,3720300000.0,3924800000.0,3896900000.0,4178400000.0,4851100000.0,4396900000.0,4641700000.0,4726000000.0,4841600000.0,5382700000.0,6681600000.0,7753200000.0,5321200000.0,5194800000.0,5214700000.0,5603400000.0,5116700000.0,4993700000.0,5712600000.0,5172200000.0,5506600000.0,5883900000.0,6477300000.0,5791700000.0,5981000000.0
